wx,wy,wz,dx,dy,dz,tot,sel,cols,collision,cdens,radius,vx,vy,vz,px,py,pz
1,1,1,4,1,1,3,s,15,3,0.5,0.2,0,0,0,0,0,0
1,1,1,7,1,1,6,s,15,6,0.5,0.2,0,0,0,0,0,0
1,1,1,10,1,1,9,s,15,9,0.5,0.2,0,0,0,0,0,0
1,1,1,13,1,1,12,s,15,12,0.5,0.2,0,0,0,0,0,0
1,1,1,16,1,1,15,a,15,15,0.5,0.2,0,0,0,0,0,0
1,1,1,19,1,1,18,a,15,18,0.5,0.2,0,0,0,0,0,0
1,1,1,22,1,1,21,a,15,21,0.5,0.2,0,0,0,0,0,0
1,1,1,25,1,1,24,a,15,24,0.5,0.2,0,0,0,0,0,0
1,1,1,28,1,1,27,a,15,27,0.5,0.2,0,0,0,0,0,0
1,1,1,31,1,1,30,a,15,30,0.5,0.2,0,0,0,0,0,0
1,1,1,34,1,1,33,a,15,33,0.5,0.2,0,0,0,0,0,0
1,1,1,37,1,1,36,a,15,36,0.5,0.2,0,0,0,0,0,0
1,1,1,40,1,1,39,a,15,39,0.5,0.2,0,0,0,0,0,0
1,1,1,43,1,1,42,a,15,42,0.5,0.2,0,0,0,0,0,0
1,1,1,46,1,1,45,a,15,45,0.5,0.2,0,0,0,0,0,0
1,1,1,49,1,1,48,a,15,48,0.5,0.2,0,0,0,0,0,0
1,1,1,52,1,1,51,a,15,51,0.5,0.2,0,0,0,0,0,0
1,1,1,55,1,1,54,a,15,54,0.5,0.2,0,0,0,0,0,0
1,1,1,58,1,1,57,a,15,57,0.5,0.2,0,0,0,0,0,0
1,1,1,61,1,1,60,a,15,60,0.5,0.2,0,0,0,0,0,0
1,1,1,64,1,1,63,a,15,63,0.5,0.2,0,0,0,0,0,0
1,1,1,67,1,1,66,a,15,66,0.5,0.2,0,0,0,0,0,0
1,1,1,70,1,1,69,a,15,69,0.5,0.2,0,0,0,0,0,0
1,1,1,73,1,1,72,a,15,72,0.5,0.2,0,0,0,0,0,0
1,1,1,76,1,1,75,a,15,75,0.5,0.2,0,0,0,0,0,0
1,1,1,79,1,1,78,a,15,78,0.5,0.2,0,0,0,0,0,0
1,1,1,82,1,1,81,a,15,81,0.5,0.2,0,0,0,0,0,0
1,1,1,85,1,1,84,a,15,84,0.5,0.2,0,0,0,0,0,0
1,1,1,88,1,1,87,a,15,87,0.5,0.2,0,0,0,0,0,0
1,1,1,91,1,1,90,a,15,90,0.5,0.2,0,0,0,0,0,0
1,1,1,94,1,1,93,a,15,93,0.5,0.2,0,0,0,0,0,0
1,1,1,97,1,1,96,a,15,96,0.5,0.2,0,0,0,0,0,0
1,1,1,100,1,1,99,a,15,99,0.5,0.2,0,0,0,0,0,0
1,1,1,103,1,1,102,a,15,102,0.5,0.2,0,0,0,0,0,0
1,1,1,106,1,1,105,a,15,105,0.5,0.2,0,0,0,0,0,0
