time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,80,0.0125,0.0107345,0.00160979,443392,443392,0,0,180128,0,0,21,0.4,0,0,
1,79,0.0126582,0.0107764,0.0015968,443392,443392,0,0,180128,0,0,21,0.4,0,0,
2,79,0.0126582,0.01071,0.00159053,443392,443392,0,0,180128,0,0,21,0.4,0,0,
3,79,0.0126582,0.0107815,0.00158506,443392,443392,0,0,180128,0,0,21,0.4,0,0,
4,79,0.0126582,0.0106989,0.00162368,443392,443392,0,0,180128,0,0,21,0.4,0,0,
5,79,0.0126582,0.0106995,0.00157485,443392,443392,0,0,180128,0,0,21,0.4,0,0,
6,80,0.0125,0.010739,0.00158726,443392,443392,0,0,180128,0,0,21,0.4,0,0,
7,79,0.0126582,0.0107855,0.00161818,443392,443392,0,0,180128,0,0,21,0.4,0,0,
8,79,0.0126582,0.0107021,0.00160976,443392,443392,0,0,180128,0,0,21,0.4,0,0,
9,80,0.0125,0.0105468,0.0016329,443392,443392,0,0,180128,0,0,21,0.4,0,0,
10,79,0.0126582,0.0107002,0.00157613,443392,443392,0,0,180128,0,0,21,0.4,0,0,
11,79,0.0126582,0.010735,0.00159069,443392,443392,0,0,180128,0,0,21,0.4,0,0,
12,79,0.0126582,0.0105433,0.00157754,443392,443392,0,0,180128,0,0,21,0.4,0,0,
13,79,0.0126582,0.0105471,0.00159891,443392,443392,0,0,180128,0,0,21,0.4,0,0,
14,75,0.0133333,0.0107095,0.00159197,443392,443392,0,0,180128,0,0,21,0.4,0,0,
15,80,0.0125,0.0105485,0.00158784,443392,443392,0,0,180128,0,0,21,0.4,0,0,
16,79,0.0126582,0.0107409,0.00161238,443392,443392,0,0,180128,0,0,21,0.4,0,0,
17,79,0.0126582,0.0107003,0.0015769,443392,443392,0,0,180128,0,0,21,0.4,0,0,
18,79,0.0126582,0.0106972,0.00162214,443392,443392,0,0,180128,0,0,21,0.4,0,0,
19,79,0.0126582,0.0106949,0.00159773,443392,443392,0,0,180128,0,0,21,0.4,0,0,
20,79,0.0126582,0.0107102,0.00157997,443392,443392,0,0,180128,0,0,21,0.4,0,0,
21,79,0.0126582,0.0107414,0.00158077,443392,443392,0,0,180128,0,0,21,0.4,0,0,
22,79,0.0126582,0.0107454,0.0015903,443392,443392,0,0,180128,0,0,21,0.4,0,0,
23,78,0.0128205,0.0105007,0.00159686,443392,443392,0,0,180128,0,0,21,0.4,0,0,
24,79,0.0126582,0.0106996,0.00159149,443392,443392,0,0,180128,0,0,21,0.4,0,0,
25,79,0.0126582,0.0106989,0.00158176,443392,443392,0,0,180128,0,0,21,0.4,0,0,
26,79,0.0126582,0.0105015,0.00159232,443392,443392,0,0,180128,0,0,21,0.4,0,0,
27,79,0.0126582,0.0107751,0.00162634,443392,443392,0,0,180128,0,0,21,0.4,0,0,
28,79,0.0126582,0.0107071,0.00160438,443392,443392,0,0,180128,0,0,21,0.4,0,0,
29,79,0.0126582,0.010703,0.00158371,443392,443392,0,0,180128,0,0,21,0.4,0,0,
30,80,0.0125,0.0107378,0.00158669,443392,443392,0,0,180128,0,0,21,0.4,0,0,
31,79,0.0126582,0.0107405,0.00159062,443392,443392,0,0,180128,0,0,21,0.4,0,0,
32,79,0.0126582,0.0107518,0.00159222,443392,443392,0,0,180128,0,0,21,0.4,0,0,
33,79,0.0126582,0.0105388,0.00159101,443392,443392,0,0,180128,0,0,21,0.4,0,0,
34,79,0.0126582,0.0107437,0.00161443,443392,443392,0,0,180128,0,0,21,0.4,0,0,
35,78,0.0128205,0.0105007,0.00158938,443392,443392,0,0,180128,0,0,21,0.4,0,0,
36,79,0.0126582,0.0106996,0.00161117,443392,443392,0,0,180128,0,0,21,0.4,0,0,
37,79,0.0126582,0.010698,0.00160333,443392,443392,0,0,180128,0,0,21,0.4,0,0,
