time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,12,0.0833333,0.0675201,0.0201877,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
1,12,0.0833333,0.0673368,0.0200437,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
2,11,0.0909091,0.0677327,0.0203315,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
3,11,0.0909091,0.0676905,0.0202857,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
4,11,0.0909091,0.0673476,0.0201892,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
5,12,0.0833333,0.0676985,0.0201906,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
6,11,0.0909091,0.067314,0.0200772,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
7,11,0.0909091,0.0673404,0.0203748,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
8,12,0.0833333,0.0673446,0.0202664,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
9,11,0.0909091,0.0676966,0.0202635,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
10,11,0.0909091,0.067719,0.0201871,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
11,11,0.0909091,0.0677121,0.0201719,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
12,12,0.0833333,0.0673116,0.0203344,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
13,11,0.0909091,0.0677004,0.0202124,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
14,11,0.0909091,0.0673094,0.0201179,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
15,12,0.0833333,0.0677106,0.0201099,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
16,11,0.0909091,0.067314,0.0202048,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
17,11,0.0909091,0.0673431,0.0201412,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
18,12,0.0833333,0.067343,0.0202013,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
19,11,0.0909091,0.0676992,0.0203046,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
20,11,0.0909091,0.0678695,0.0202878,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
21,12,0.0833333,0.0673207,0.0203069,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
22,11,0.0909091,0.0677124,0.0200941,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
23,10,0.1,0.0675125,0.0202387,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
24,10,0.1,0.0676915,0.0201919,5832000,5832000,0,0,3024000,0,0,61,0.5,0,0,
