time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,24,0.0416667,0.0187913,0.0129042,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
1,31,0.0322581,0.0188059,0.013042,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
2,30,0.0333333,0.0187949,0.0131519,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
3,20,0.05,0.018792,0.0131261,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
4,31,0.0322581,0.0187896,0.0130439,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
5,30,0.0333333,0.0187912,0.0130412,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
6,31,0.0322581,0.0187931,0.0131308,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
7,31,0.0322581,0.0187895,0.013039,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
8,31,0.0322581,0.0187927,0.0130438,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
9,31,0.0322581,0.0187885,0.0130894,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
10,30,0.0333333,0.0187945,0.0131348,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
11,31,0.0322581,0.0189738,0.0130946,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
12,31,0.0322581,0.0187924,0.012986,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
13,31,0.0322581,0.0187915,0.0130184,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
14,30,0.0333333,0.0187954,0.0130846,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
15,31,0.0322581,0.0187907,0.0131798,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
16,31,0.0322581,0.0189816,0.013126,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
17,31,0.0322581,0.0187901,0.0131983,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
18,31,0.0322581,0.0188027,0.0130797,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
19,30,0.0333333,0.0187913,0.0130556,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
20,31,0.0322581,0.0188007,0.0130873,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
21,31,0.0322581,0.0187863,0.0131367,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
22,31,0.0322581,0.0187932,0.013008,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
23,31,0.0322581,0.0188038,0.0130025,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
24,31,0.0322581,0.0189835,0.0131066,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
25,30,0.0333333,0.0188012,0.0130188,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
26,31,0.0322581,0.0187881,0.0131251,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
27,31,0.0322581,0.0187899,0.0130577,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
28,31,0.0322581,0.0188238,0.0130926,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
29,31,0.0322581,0.01879,0.0130401,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
30,29,0.0344828,0.0188008,0.0130416,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
31,31,0.0322581,0.0187929,0.0131172,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
32,31,0.0322581,0.0187925,0.013045,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
33,31,0.0322581,0.0187932,0.013115,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
34,31,0.0322581,0.0187914,0.0129707,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
35,31,0.0322581,0.0189567,0.0131161,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
36,31,0.0322581,0.0189713,0.0129712,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
37,30,0.0333333,0.018794,0.0129251,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
38,31,0.0322581,0.018789,0.0131309,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
39,31,0.0322581,0.0187958,0.0129913,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
40,31,0.0322581,0.018788,0.0130416,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
41,30,0.0333333,0.0187952,0.0130719,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
42,31,0.0322581,0.0188028,0.0129639,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
43,31,0.0322581,0.0189814,0.0129339,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
44,31,0.0322581,0.018792,0.0129673,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
45,30,0.0333333,0.0189748,0.0130053,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
46,31,0.0322581,0.0187913,0.0130976,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
47,31,0.0322581,0.0188079,0.0131026,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
48,31,0.0322581,0.0189814,0.0130257,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
49,30,0.0333333,0.0187938,0.0130441,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
50,31,0.0322581,0.0191605,0.013256,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
51,31,0.0322581,0.0187963,0.0129998,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
52,31,0.0322581,0.0187921,0.0131212,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
53,30,0.0333333,0.0187909,0.012989,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
54,31,0.0322581,0.0187917,0.0129804,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
55,31,0.0322581,0.0188004,0.013134,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
56,30,0.0333333,0.0187923,0.013,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
57,19,0.0526316,0.0181104,0.0131233,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
58,32,0.03125,0.0176991,0.0130051,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
59,31,0.0322581,0.0177095,0.0129933,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
60,32,0.03125,0.0178605,0.0129814,3752960,3752960,0,0,1876480,0,0,79,0.5,0,0,
Total,30.8167,30.5, , , , , ,
